horizon,history2,action2,state,history1,action1,val
0,(agent:1),1,3,(agent:0),0,9.23959
0,(agent:1),1,3,(agent:0),1,8.26695
0,(agent:1),0,3,(agent:0),0,7.98714
0,(agent:1),0,3,(agent:0),1,9.1351
1,(agent:1)1,0,0,(agent:0)1,0,0.278013
1,(agent:1)1,0,1,(agent:0)1,1,8.06629
1,(agent:1)1,0,0,(agent:0)0,1,1.33699
1,(agent:1)1,0,1,(agent:0)0,0,3.17253
1,(agent:1)1,0,1,(agent:0)1,0,7.0592
1,(agent:1)1,0,1,(agent:0)0,1,8.04315
1,(agent:1)1,0,0,(agent:0)0,0,2.32221
1,(agent:1)1,0,2,(agent:0)1,1,7.19145
1,(agent:1)1,0,3,(agent:0)1,0,7.02558
1,(agent:1)1,0,3,(agent:0)0,1,8.27002
1,(agent:1)1,0,2,(agent:0)0,0,6.58386
1,(agent:1)1,0,2,(agent:0)1,0,6.94507
1,(agent:1)1,0,3,(agent:0)1,1,8.26452
1,(agent:1)1,0,3,(agent:0)0,0,6.96416
1,(agent:1)1,0,2,(agent:0)0,1,6.8496
1,(agent:1)0,0,0,(agent:0)1,0,1.04872
1,(agent:1)0,0,1,(agent:0)1,1,7.86181
1,(agent:1)0,0,1,(agent:0)0,0,1.68133
1,(agent:1)0,0,0,(agent:0)0,1,5.59461
1,(agent:1)0,0,1,(agent:0)0,1,1.59072
1,(agent:1)0,0,3,(agent:0)1,0,6.94797
1,(agent:1)0,0,0,(agent:0)0,0,5.29967
1,(agent:1)0,0,2,(agent:0)1,1,6.95233
1,(agent:1)0,0,2,(agent:0)0,1,7.20275
1,(agent:1)0,0,3,(agent:0)0,0,5.98005
1,(agent:1)0,0,3,(agent:0)0,1,7.6857
1,(agent:1)0,0,2,(agent:0)0,0,6.98536
1,(agent:1)0,0,2,(agent:0)1,0,6.74325
1,(agent:1)0,0,3,(agent:0)1,1,8.18008
1,(agent:1)0,0,1,(agent:0)1,0,3.29267
1,(agent:1)0,0,0,(agent:0)1,1,0.975308
1,(agent:1)0,1,0,(agent:0)1,0,3.75887
1,(agent:1)0,1,1,(agent:0)1,1,3.76917
1,(agent:1)0,1,0,(agent:0)1,1,0.97676
1,(agent:1)0,1,1,(agent:0)1,0,3.38676
1,(agent:1)0,1,3,(agent:0)0,1,6.74543
1,(agent:1)0,1,2,(agent:0)0,0,8.13982
1,(agent:1)0,1,1,(agent:0)0,1,2.2224
1,(agent:1)0,1,0,(agent:0)0,0,7.07453
1,(agent:1)0,1,3,(agent:0)1,0,8.06924
1,(agent:1)0,1,2,(agent:0)1,1,6.87482
1,(agent:1)0,1,2,(agent:0)0,1,7.19151
1,(agent:1)0,1,3,(agent:0)0,0,8.03917
1,(agent:1)0,1,3,(agent:0)1,1,7.24495
1,(agent:1)0,1,2,(agent:0)1,0,8.14916
1,(agent:1)0,1,1,(agent:0)0,0,4.72321
1,(agent:1)0,1,0,(agent:0)0,1,5.72088
1,(agent:1)1,1,1,(agent:0)1,0,7.26547
1,(agent:1)1,1,0,(agent:0)0,1,0.734786
1,(agent:1)1,1,1,(agent:0)0,0,3.53778
1,(agent:1)1,1,2,(agent:0)1,0,8.13015
1,(agent:1)1,1,3,(agent:0)1,1,7.35501
1,(agent:1)1,1,0,(agent:0)0,0,3.95917
1,(agent:1)1,1,1,(agent:0)0,1,3.01493
1,(agent:1)1,1,3,(agent:0)1,0,8.26631
1,(agent:1)1,1,2,(agent:0)1,1,7.19419
1,(agent:1)1,1,3,(agent:0)0,1,7.25394
1,(agent:1)1,1,2,(agent:0)0,0,8.07439
1,(agent:1)1,1,1,(agent:0)1,1,7.1467
1,(agent:1)1,1,2,(agent:0)0,1,6.91386
1,(agent:1)1,1,3,(agent:0)0,0,8.30442
2,(agent:1)0,0,0,(agent:0)1,0,2.24521
2,(agent:1)0,0,1,(agent:0)1,1,5.0276
2,(agent:1)0,0,1,(agent:0)0,0,0.664584
2,(agent:1)0,0,0,(agent:0)0,1,5.01282
2,(agent:1)0,0,1,(agent:0)1,0,1.90502
2,(agent:1)0,0,0,(agent:0)1,1,2.13938
2,(agent:1)0,0,3,(agent:0)0,1,6.46759
2,(agent:1)0,0,2,(agent:0)0,0,6.18302
2,(agent:1)0,0,3,(agent:0)1,1,7.3688
2,(agent:1)0,0,2,(agent:0)1,0,6.17068
2,(agent:1)0,0,2,(agent:0)0,1,6.32629
2,(agent:1)0,0,3,(agent:0)0,0,5.20152
2,(agent:1)0,0,1,(agent:0)0,1,1.86965
2,(agent:1)0,0,3,(agent:0)1,0,6.02234
2,(agent:1)0,0,2,(agent:0)1,1,6.33446
2,(agent:1)0,0,0,(agent:0)0,0,5.218
2,(agent:1)1,0,0,(agent:0)1,1,5.61154
2,(agent:1)1,0,1,(agent:0)1,0,5.23026
2,(agent:1)1,0,1,(agent:0)1,1,7.23667
2,(agent:1)1,0,0,(agent:0)1,0,5.6568
2,(agent:1)1,0,2,(agent:0)1,0,6.27584
2,(agent:1)1,0,3,(agent:0)1,1,7.36872
2,(agent:1)1,0,3,(agent:0)0,1,7.35627
2,(agent:1)1,0,2,(agent:0)0,0,6.16199
2,(agent:1)1,0,3,(agent:0)0,0,6.00239
2,(agent:1)1,0,2,(agent:0)0,1,6.33807
